Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
What is a characteristic of the reconnaissance technique used by threat actors to gather information about a target network before a cyb,Utilizes network scanning tools to identify open ports,Requires physical access to target devices,Leverages social engineering tactics to gain trust,Exploits software vulnerabilities to gain access,A,Reconnaissance involves using automated tools to scan networks for open ports and vulnerabilities (T1046).
Which of the following is a mitigation strategy against the privilege escalation technique where an attacker exploits a vulnerability to elevate privileges on a mobile device?,Patching operating systems and apps regularly,Implementing multi-factor authentication,Disabling USB debugging,Using a virtual private network (VPN),C,Disabling USB debugging closes a potential entry point for privilege escalation (T1068).
"In the context of ICS cybersecurity, which of the following techniques is used by threat actors to disrupt or manipulate industrial processes?",Credential Access,Command and Control,ICS Attack Pattern Discovery,Lateral Movement,C,ICS Attack Pattern Discovery (T1078) involves identifying vulnerabilities in ICS devices to execute malicious actions.
Which technique is characterized by the malicious encryption of files to extort victims into paying ransoms?,Ransomware,Phishing,Denial-of-Service,Man-in-the-Middle,A,Ransomware (T1486) is a type of malware that encrypts files and demands payment to restore access.
"According to MITRE ATT&CK (Enterprise), which technique ID is used when an adversary exploits software flaws or misconfigurations to gain access to a target system? (T1190: Exploitation for Privilege Escalation)",T1190,T1210,T1220,T1230,A,
"In the context of ICS cybersecurity, which MITRE ATT&CK technique ID represents the use of phishing emails to trick victims into providing sensitive information? (T1598: Phishing)",T1498,T1598,T1688,T1798,B,
Which stage of the MITRE ATT&CK framework involves identifying and assessing potential threats to an organization? (Pre-Attack),Reconnaissance,Intrusion,Installation,Lateral Movement,A,
"According to MITRE ATT&CK (Mobile), which technique ID is assigned to adversary actions that leverage malicious social media posts to spread malware or phishing links? (T1166: Social Engineering Techniques)",T1156,T1166,T1176,T1186,B,
"In the MITRE ATT&CK framework, which technique ID describes an adversary's attempt to obtain credentials by intercepting and manipulating HTTP traffic? (T1133: Credential Access: Network Sniffing)",T1123,T1133,T1143,T1153,B,
"In the MITRE ATT&CK Enterprise context, which technique enables an adversary to maintain persistence by leveraging legitimate tools or services? (Persistent Presence: [T1193] OS Credential Dumping)",Remote Desktop Protocol,Scheduled Task,Azure Active Directory,PowerShell,B,Scheduled Task is a legitimate tool that can be leveraged by adversaries to maintain persistence on a system.
"In the MITRE ATT&CK ICS context, which technique involves adversaries using a legitimate wireless connection to gain access to the control network of an industrial process? (Lateral Movement: [T1097] Valid Accounts)",Wireless Access Point (WAP),Bluetooth,GSM,NFC,A,Wireless Access Point (WAP) is a component of a wireless network that can be exploited by adversaries to gain access to the control network of an industrial process.
"In the MITRE ATT&CK Mobile context, which technique enables an adversary to escalate privileges by exploiting a vulnerability in the operating system? (Privilege Escalation: [T1068] Local Privilege Escalation)",Brute Force,CVE,Jailbreaking,Rootkit,B,CVE (Common Vulnerabilities and Exposures) are vulnerabilities in the operating system that can be exploited by adversaries to escalate privileges.
Which of the following is a key principle of the NIST Cybersecurity Framework? (NA),Identify,Protect,Develop,Investigate,A,Identify is the first principle of the NIST Cybersecurity Framework and involves understanding cybersecurity risks.
"In the context of the NIST Cybersecurity Framework, which function is responsible for defining the scope, assessment criteria, and methodology for cybersecurity risk assessments? (Risk Assessment: [PR.RA-1] Risk Assessment Planning)",Risk Management,Threat Intelligence,Vulnerability Management,Incident Response,A,
Which technique involves creating a duplicate authorization or logon token to bypass authentication controls?,Brute Force,Kerberoasting,Pass the Hash,SQL Injection,C,Pass the Hash (T1075) involves stealing the hash of a user's password and using it to create a duplicate authentication token.
Which technique allows an attacker to record and replay interactions between a user and an application?,Application Fingerprinting,Mobile Device Emulation,Screen Scraping,Side Channel Analysis,C,"Screen Scraping (T1523) involves recording and replaying a user's interactions with an application, allowing an attacker to extract sensitive data."
"Which core category focuses on protecting against threats that could disrupt or damage an organization's services, operations, or assets?
",Risk Management,Infrastructure Security,Incident Response,Operations Security,B,"Infrastructure Security (ID.RA) aims to protect critical infrastructure elements from disruption, damage, or unauthorized access."
Which technique involves modifying a device's firmware to gain persistent access and control?,Firmware Modification,Remote Access Tool,Exploit Public-Facing Application,Spear Phishing,A,"Firmware Modification (T1564) involves altering the firmware of a device, typically to gain persistent access or modify its functionality."
"Which technique allows an attacker to escalate privileges by exploiting a vulnerability in an application's code?
",Privilege Escalation,DLL Hijacking,Shellcode Injection,Credential Theft,A,
Which adversary tactic is used to establish a beacon to remotely control an infected system? **(Mobile)**,Credential Access,Discovery,Command and Control,Collection,C,Command and Control (TA0011) involves establishing and maintaining communication channels with an attacker-controlled server or infrastructure to remotely monitor and control the infected system.
"According to MITRE ATT&CK, which category of techniques deals with modifying or disabling defensive mechanisms to avoid detection?",Discovery,Defense Evasion,Persistence,Privilege Escalation,B,"T1119.002 (Indicator Removal on Host) falls under the Defense Evasion category, which includes techniques for evading security controls and detection mechanisms."
Which of the following is a common approach used by adversaries to hide malicious payloads within legitimate files?,Base64 encoding,Static linking,Runtime code injection,Binary obfuscation,A,"T1544.001 (Obfuscated Files or Information) involves the use of techniques like Base64 encoding to conceal malicious content within legitimate files, making it harder for security systems to detect."
"In the context of insider attacks, which of the following is NOT a common motivation?",Financial gain,Espionage,Personal vendetta,System improvement,D,"Insider attacks are typically driven by malicious intent, including financial gain, espionage, or personal vendetta. System improvement is not a common motivation for insider threats."
Which of the following is a key challenge in securing Industrial Control Systems (ICS)?,Lack of visibility into OT assets,Limited patching capabilities,High connectivity between devices,All of the above,D,"Securing ICS environments poses unique challenges due to the combination of lack of visibility into OT assets, limited patching capabilities, and the high connectivity between devices, increasing the risk of cyber attacks."
Phishing attacks typically target which of the following to compromise user credentials?,Email accounts,Social media profiles,Bank accounts,All of the above,D,
"In the context of ICS, which technique involves the exfiltration of information via a command and control channel established by malware?",Credential Harvesting,Command and Control,Data Exfiltration,Lateral Movement,B,T1566 refers to the use of a command and control channel for data exfiltration in ICS environments.
Which technique in Mobile ATT&CK allows attackers to discover and list files and directories on a targeted mobile device?,Abuse Elevation Prevention Mechanisms,File and Directory Discovery,Local File System Access,Kernel Object Manipulation,B,T1134 involves the discovery and listing of files and directories on a mobile device by leveraging native features or tools.
"In Enterprise ATT&CK, which technique targets the command shell or scripting interpreter to execute commands?",Command and Scripting Interpreter,Command-Line Interface,Windows Management Instrumentation,Powershell,A,"T1059 refers to the use of a command shell or scripting interpreter, such as PowerShell or the Bash shell, to execute commands and perform various malicious activities."
"Which technique in ICS ATT&CK is aimed at gathering information about the targeted ICS system, including its hardware and software components?",Credential Harvesting,System Information Discovery,Reconnaissance,Process Discovery,B,"T1598 involves the active discovery and enumeration of system information, such as network interfaces, processes, and installed software, within an ICS environment."
"In Mobile ATT&CK, which technique involves loading or modifying kernel modules to gain increased privileges or bypass security measures?",Kernel Exploit,Kernel Modules and Extensions,Privilege Escalation,Lateral Movement,B,
Which MITRE ATT&CK pattern technique (ID and full name) involves the use of phishing emails to trick users into providing sensitive information? (Enterprise),T1566 - Credential Harvesting,T1193 - Phishing,T1482 - Password Spraying,T1531 - Port Scanning,B,T1193 (Phishing) is the MITRE ATT&CK pattern technique that involves the use of phishing emails to trick users into providing sensitive information.
Which of the following is a key benefit of using the NIST Cybersecurity Framework (CSF)? (Enterprise),It provides a comprehensive cybersecurity risk management roadmap,It ensures compliance with all relevant cybersecurity regulations,It guarantees protection against all types of cyber threats,It eliminates the need for additional security controls,A,"The NIST CSF provides a comprehensive cybersecurity risk management roadmap that helps organizations identify, prioritize, and mitigate cybersecurity risks."
 Which MITRE ATT&CK pattern technique (ID and full name) involves the use of malicious software that spreads across a network and exploits vulnerabilities? (ICS),T1055 - Network Share Discovery,T1068 - Remote Access Software,T1105 - Exploitation for Client Execution,T1098 - PowerShell,C,T1105 (Exploitation for Client Execution) is the MITRE ATT&CK pattern technique that involves the use of malicious software that spreads across a network and exploits vulnerabilities in order to execute arbitrary code on targeted systems.
Which of the following is a recommended practice for implementing the CSF? (Mobile),Conducting regular vulnerability assessments and penetration testing,Deploying a next-generation firewall (NGFW),Using a single password for all accounts,Disabling all security updates,A,The CSF recommends conducting regular vulnerability assessments and penetration testing to identify and mitigate security risks.
Which MITRE ATT&CK pattern technique (ID and full name) involves the use of a keylogger to capture user keystrokes? (Enterprise),T1056 - Input Capture,T1205 - Data from Local System,T1074 - Data Exfiltration,T1484 - Data Encrypted for Impact,A,
Which of the following is a key principle of the NIST Cybersecurity Framework for Industrial Control Systems (ICS)?,Cybersecurity should be integrated into all aspects of ICS operations.,ICS security should be based on a risk-based approach.,ICS security should prioritize safeguarding critical assets.,All of the above,D,All three options represent key principles of the NIST Cybersecurity Framework for ICS.
Which of the following is a recommended practice under the NIST Cybersecurity Framework's Identify Function?,Performing vulnerability assessments,Creating an asset inventory,Implementing security controls,Monitoring for security incidents,B,
"In the context of Enterprise ATT&CK, which technique involves using a complex and redundant encoding mechanism to make it difficult for analysts to understand malicious code?",T1583 - Obfuscation/Deobfuscation,T1056 - Input Validation,T1522 - Modify Registry,T1018 - Remote File Copy,A,Obfuscation/Deobfuscation techniques seek to conceal malicious code by employing sophisticated encryption or encoding algorithms.
