row_number	total_rows	total_tokens	HARM_CATEGORY_SEXUALLY_EXPLICIT	HARM_CATEGORY_HATE_SPEECH	HARM_CATEGORY_HARASSMENT	HARM_CATEGORY_DANGEROUS_CONTENT
1433	3992	93	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1434	3992	91	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1435	3992	75	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1436	3992	76	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1437	3992	90	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1438	3992	91	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1439	3992	94	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1440	3992	91	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1441	3992	83	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1442	3992	92	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1443	3992	99	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1444	3992	81	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1445	3992	89	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1446	3992	112	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1447	3992	101	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1448	3992	107	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1449	3992	74	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1450	3992	90	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1451	3992	98	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1452	3992	93	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1453	3992	92	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1454	3992	91	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1455	3992	102	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1456	3992	109	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1457	3992	112	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1458	3992	105	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1459	3992	116	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1460	3992	87	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1461	3992	95	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1462	3992	94	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1463	3992	87	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1464	3992	77	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1465	3992	91	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1466	3992	104	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1467	3992	85	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1468	3992	90	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1469	3992	91	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1470	3992	93	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1471	3992	103	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1472	3992	94	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1473	3992	96	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1474	3992	95	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1475	3992	95	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1476	3992	71	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1477	3992	98	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1478	3992	75	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1479	3992	101	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1480	3992	76	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1481	3992	121	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1482	3992	196	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1483	3992	205	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1484	3992	197	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1485	3992	164	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1486	3992	109	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1487	3992	115	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1488	3992	110	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1489	3992	114	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1490	3992	114	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1491	3992	113	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1492	3992	115	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1493	3992	116	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1494	3992	102	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1495	3992	91	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1496	3992	83	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1497	3992	93	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1498	3992	109	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1499	3992	87	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1500	3992	96	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1499	3992	96	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1500	3992	96	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1501	3556	96	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1502	3556	120	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1503	3556	112	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1504	3556	116	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1505	3556	111	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1506	3556	96	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1507	3556	108	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1508	3556	109	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1509	3556	119	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1510	3556	102	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1511	3556	115	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1512	3556	187	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1513	3556	108	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1514	3556	91	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1515	3556	95	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1516	3556	99	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1517	3556	118	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1518	3556	108	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1519	3556	115	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1520	3556	83	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1521	3556	114	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1522	3556	108	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1523	3556	80	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1524	3556	80	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1525	3556	82	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1526	3556	84	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1527	3556	84	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1528	3556	79	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1529	3556	79	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1530	3556	122	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1531	3556	104	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1532	3556	102	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1533	3556	110	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1534	3556	101	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1535	3556	79	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1536	3556	96	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1537	3556	95	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1538	3556	107	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1539	3556	87	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1540	3556	107	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1541	3556	250	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1542	3556	321	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1543	3992	184	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1544	3992	151	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1545	3992	197	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1546	3992	142	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1547	3992	555	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1548	3992	125	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1549	3992	180	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1550	3992	172	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1551	3992	279	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1552	3992	143	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1553	3992	220	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1554	3992	199	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1555	3992	265	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1556	3992	116	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1557	3992	187	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1558	3992	187	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1559	3992	228	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1560	3992	146	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1543	3992	199	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1544	3992	151	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1545	3992	197	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1546	3992	142	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1547	3992	555	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1548	3992	125	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1549	3992	180	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1550	3992	172	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1551	3992	279	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1552	3992	143	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1553	3992	220	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1554	3992	199	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1555	3992	265	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1556	3992	116	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1557	3992	187	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1558	3992	187	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1559	3992	228	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1560	3992	146	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1561	3992	199	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1562	3992	271	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1563	3992	95	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1564	3992	80	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1565	3992	96	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1566	3992	96	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1567	3992	102	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1568	3992	104	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1569	3992	97	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1570	3992	113	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1571	3992	87	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1572	3992	96	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1573	3992	112	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1574	3992	89	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1575	3992	106	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1576	3992	75	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1577	3992	77	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1578	3992	76	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1579	3992	79	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1543	3992	95	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1544	3992	151	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1545	3992	197	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1546	3992	142	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1547	3992	555	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1548	3992	125	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1549	3992	180	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1550	3992	172	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1551	3992	279	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1552	3992	143	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1553	3992	220	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1554	3992	199	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1555	3992	265	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1556	3992	116	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1557	3992	187	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1558	3992	187	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1559	3992	228	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1560	3992	146	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1561	3992	199	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1562	3992	271	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1563	3992	95	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1564	3992	80	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1565	3992	96	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1566	3992	96	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1567	3992	102	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1568	3992	104	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1569	3992	97	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1570	3992	113	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1571	3992	87	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1572	3992	96	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1573	3992	112	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
